Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,Δ(exp5.3-B)
ID,multilingual-e5-base,25,perasaan malu dan takut,0.4472,0.3536,-0.2236,0.2887,0.0,0.4472,0.4472,-0.866,-0.866,-0.6325,-0.2887,,0.7071,0.3536,0.3536,-0.866,-0.2887,-0.2887,-0.0936
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7255,0.1539,0.1539,-0.2236,-0.7379,0.9487,0.9487,-0.2887,0.7255,0.6325,0.2236,0.2236,0.6708,0.6708,0.3162,-0.2635,0.0,0.4472,-0.0547
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.2887,0.6708,-0.866,-0.1118,0.4472,0.0,-0.1539,0.0,-0.3591,-0.3591,-0.1581,0.2887,0.2887,-0.7255,,-0.2052,-0.4472,-0.0275
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.8944,0.7071,0.7071,0.7071,0.1081,0.7071,0.7071,0.7071,0.7826,0.7826,0.7826,0.7071,0.7071,0.7071,0.7071,0.7071,0.0
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7906,0.5774,0.2887,0.0,-0.6325,0.0,0.4472,0.5774,0.2887,0.5774,0.3536,0.7071,0.8944,0.866,0.9487,0.9487,0.866,0.8944,0.0754
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.7255,0.7071,0.7071,-0.7071,0.7071,0.3536,0.7071,0.7071,0.2236,0.7071,0.3536,0.3536,0.7071,0.3953,0.3953,-0.2236,1.0,0.1801
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,-0.866,-0.3536,-0.2887,0.2236,0.2236,0.7071,0.4472,-0.1054,-0.866,-0.2887,0.3536,0.0,0.2887,0.866,-0.2887,-0.2887,0.2635
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.7255,0.8885,0.866,0.7071,0.7071,0.0,-0.4472,0.2887,-0.5774,0.0,0.2962,-0.2236,0.8885,0.866,0.2887,0.2887,0.3034
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.3627,0.7379,0.5923,-0.2236,-0.2887,,,,,0.7906,1.0,1.0,0.5774,0.7071,0.9682,0.7454,0.8839,,0.3444
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.3536,0.6156,0.2236,0.3536,,-0.7071,0.0,0.3536,,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,-0.3536,0.3535
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.1118,0.6708,-0.2236,0.7906,0.7906,0.4472,0.1118,0.8944,0.7071,0.7071,,0.3536,,0.7071,,0.3536,0.3536
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5774,,,0.3536,-0.8944,0.2887,0.7071,0.2887,0.0,-0.5774,0.4472,0.2236,0.0,0.9487,0.4472,0.4472,0.0,0.7379,0.3713
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9487,-0.2052,0.2294,0.3536,0.5774,0.1054,0.6325,0.803,0.7071,0.7071,0.7071,0.9487,0.6708,-0.7071,0.3536,0.7071,0.6669,0.3821
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.0,0.0513,-0.0527,0.9747,0.3591,0.2236,0.1054,-0.1118,-0.1118,0.8944,0.4743,0.2108,0.7906,0.4104,0.2108,0.0,0.5774,0.4743,0.4104
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.3627,,,-0.5774,0.5774,,-0.2582,0.7826,0.0,0.9487,,,,0.866,0.6708,,0.7071,0.866,0.5033
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.7826,0.7826,0.8944,0.3536,0.7906,0.0,-0.1814,0.6708,0.3536,0.7071,0.3536,0.8944,0.3536,0.7071,0.3536,0.3536,0.5408
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.4472,-0.1581,-0.8944,0.7826,0.3536,-0.4472,-0.2236,,0.0,0.0,0.866,0.866,0.866,0.2236,0.7826,0.7826,0.5773
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.2895,0.7071,-0.7071,,0.7906,-0.3536,0.5774,-0.3536,0.8944,0.0,0.5774,0.866,0.3536,0.9487,,,0.2236,0.4472,0.6592
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.5643,-0.6708,-0.2236,-0.4472,-0.6708,-0.7379,0.0,-0.3536,-0.5774,0.0,0.4472,0.4472,-0.3536,0.2236,-0.3536,-0.3536,0.6708
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,-0.2887,0.7071,0.0,0.0,0.0,0.7071,0.0,0.866,0.866,0.866,0.7071,0.7071,0.866,0.866,0.7071,0.866,0.7071
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.0,0.0513,0.527,0.1581,0.8208,-0.1581,0.0526,0.8721,0.7182,0.7454,0.7454,0.7454,0.2635,0.7454,0.7454,0.7454,0.7454,0.7454,0.7454
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.527,0.7071,0.6325,0.3162,0.6708,0.9487,0.6708,-0.1581,0.0,0.5774,0.6708,0.6325,0.9487,0.7071,0.7071,0.2887,0.0,0.7865
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.0,-0.2052,-0.0263,-0.4472,-0.2236,-0.6842,-0.5643,-0.4472,-0.1118,0.4472,0.866,0.6669,0.9747,0.7906,0.5643,0.2052,0.5643,0.2052,0.7906
ID,multilingual-e5-base,22,cara mengikis kotoran batin,-0.2887,0.866,-0.2236,0.4472,0.3689,0.2887,0.866,0.2887,-0.7071,0.0,0.8944,0.8944,0.527,0.527,,0.7071,-0.7255,0.7071,0.8157
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.7906,-0.1118,0.1081,0.5774,-0.2887,0.0,0.7071,0.5774,0.5774,0.866,0.9487,0.866,0.5774,0.5774,0.5774,0.5774,0.866
ID,multilingual-e5-base,14,apa makna kekosongan,-0.7071,,-0.8885,-0.7071,0.4743,,,0.0,-0.3536,,,,0.6156,0.3536,-0.7454,0.7454,0.8885,,1.0607
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,0.866,-0.6708,,0.7071,-0.73,-0.7379,-0.7826,-0.2236,0.3536,0.866,,,0.3536,,-0.3536,-0.3536,0.3536,1.0791
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.2236,-0.866,-0.5774,-0.866,-0.5774,0.7071,0.3536,0.4104,-0.4472,-0.3162,,0.7071,-0.2236,0.6708,0.9487,0.0,1.3227
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.7071,0.7071,0.8944,0.2635,0.0527,-0.1581,0.1118,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.0,0.0,0.0,1.4142
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,,0.6325,0.866,,0.7071,-0.2236,0.1581,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.7071,0.0,0.0,1.4142
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.866,0.6882,1.0,0.8944,0.8944,-0.6669,-0.6669,0.0,0.3536,-0.6325,0.6156,0.8208,0.5798,0.8944,-0.0513,0.1026,0.0,0.8208,1.7604
