Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(exp2-B)
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.6592,0.0554
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.6747,0.0732
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.673,0.0748
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6667,0.1003
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.4265,0.1179
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.693,0.1205
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.6144,0.1536
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4918,0.4187,0.6555,0.1637
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.5517,0.1774
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.3392,0.1902
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.7725,0.1974
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.9376,0.2011
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3673,0.4849,0.6545,0.2872
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.8638,0.3023
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.44,0.8154,0.7429,0.3029
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.44,0.6972,0.7563,0.3163
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,1.0,0.3333
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,0.3594
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,1.0,0.4704
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
