Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp4.3-B)
ID,gte-multilingual-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.9513,0.8573,1.0,1.0,1.0,1.0,1.0,1.0,0.9563,0.9563,0.9563,0.9563,0.0
ID,multilingual-e5-base,30,apa itu proliferasi mental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9125,1.0,1.0,0.9435,0.9435,0.8638,0.9513,1.0,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,1.0,0.9125,0.9026,0.8688,0.9563,0.9125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,1.0,0.8304,0.786,0.786,0.9513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9435,1.0,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,1.0,1.0,0.9026,0.8869,1.0,0.9435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.3737,0.6095,0.6095,0.3737,0.3737,0.3737,0.3737,0.3737,0.3737,0.4273,0.6095,0.7059,0.8132,0.5946,0.4219,0.0
ID,multilingual-e5-base,25,perasaan malu dan takut,1.0,0.9513,0.9513,0.8869,0.8721,1.0,1.0,1.0,1.0,1.0,1.0,0.9076,0.7945,0.7719,0.8849,0.0
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.6299,0.7154,0.7154,0.7281,0.5536,0.736,0.7797,0.5933,0.6667,0.9287,0.7714,0.9076,0.7719,0.7281,0.8152,0.0368
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.9563,0.214,0.6548,0.3392,0.786,0.6893,0.6456,0.6399,1.0,0.6539,0.5895,0.3919,0.533,0.3919,0.3919,0.0437
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5962,0.4582,0.6992,0.3325,0.3531,0.2979,0.0437,0.4017,0.6399,0.4991,0.4562,0.8235,0.738,0.738,0.264,0.0437
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.9513,0.786,0.6608,0.5895,0.8869,0.6608,0.6608,0.6608,1.0,0.8432,0.8412,0.7719,0.7719,0.8432,0.7945,0.0487
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.4219,0.5183,0.5605,0.6095,0.3737,0.4226,0.4226,0.5805,0.5005,0.4523,0.6095,0.8132,0.5324,0.5769,0.7681,0.0786
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.5763,0.7748,0.738,0.6097,0.6449,0.6386,0.5949,0.5531,0.6687,0.7797,0.7389,0.7797,0.7719,0.6943,0.7797,0.0924
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.4704,0.4959,0.4394,0.6534,0.6131,0.4365,0.4522,0.4365,0.5834,0.5269,0.4522,0.616,0.738,0.7458,0.524,0.113
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8869,0.1696,0.0,0.4199,0.738,0.6061,0.8304,0.9125,1.0,0.8412,1.0,0.8073,0.9076,0.9076,0.8997,0.1131
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8304,0.786,0.6992,0.6844,0.8869,0.5191,0.4365,0.6992,0.9513,1.0,0.9026,1.0,1.0,1.0,1.0,0.1209
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8688,1.0,1.0,0.8539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9563,0.1312
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8539,0.9125,0.7714,0.9076,0.8638,0.9076,0.8102,1.0,1.0,0.8123,1.0,0.9563,0.9513,0.9076,0.9513,0.1461
ID,gte-multilingual-base,21,jenis jenis manusia,0.8539,1.0,1.0,1.0,1.0,0.9563,1.0,1.0,1.0,1.0,1.0,0.9287,0.9287,0.9435,0.8948,0.1461
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6608,0.7817,0.6943,0.2026,0.6131,0.786,0.6608,0.3869,0.8102,0.7719,0.7896,0.7945,0.7945,0.8948,0.7719,0.1494
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.5784,0.6242,0.5784,0.7157,0.822,0.5784,0.5784,0.5784,0.7312,0.4926,0.4468,0.4468,0.4926,0.5029,0.4926,0.1528
ID,gte-multilingual-base,10,kriteria kesucian,0.0,0.1461,0.1696,0.2739,0.2739,0.0487,0.0437,0.3392,0.214,0.0437,0.4582,0.5325,0.4612,0.616,0.6377,0.214
ID,multilingual-e5-base,10,kriteria kesucian,0.1461,0.1461,0.3122,0.5305,0.5305,0.3836,0.3452,0.4704,0.4105,0.4852,0.467,0.5049,0.4534,0.4534,0.5531,0.2644
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,1.0,0.471,0.7071,0.6406,1.0,1.0,1.0,1.0,0.9563,0.9563,0.9563,1.0,0.3107
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,0.5296,0.7227,0.1427,0.0,0.7227,0.5296,0.4522,0.0,0.0,0.9563,0.9076,0.5949,0.3156
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.2979,0.7591,0.7591,0.5119,0.8024,0.7669,0.6357,0.7669,0.7719,0.7154,0.7174,0.8008,0.8235,0.8284,0.7945,0.474
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1246,0.0482,0.1246,0.0,0.2032,0.4523,0.4219,0.3737,0.6592,0.5682,0.0,0.2973,0.3596,0.175,0.4473,0.5346
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.0974,0.6667,0.5227,0.6667,0.7797,0.2979,0.1312,1.0,1.0,0.3136,0.3495,0.2104,0.7797,0.8362,0.2335,0.9026
