Korpus,Family,query_id,kueri,B,GPL,exp5.4.2,Δ(exp5.4.2-B)
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.4901,0.0953
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.7458,0.2826,0.8432,0.0974
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,1.0,0.11
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,1.0,0.1131
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.8406,0.1145
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5269,0.6083,0.6505,0.1236
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.5167,0.1308
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,1.0,0.1362
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,1.0,0.1362
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,1.0,0.1389
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.9435,0.1638
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,1.0,0.1728
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.7739,0.2124
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.6747,0.8498,0.8896,0.2149
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.4973,0.2172
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.7867,0.2203
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6135,0.161,0.839,0.2255
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.4926,0.3713,0.7208,0.2282
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.8406,0.2391
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.2463
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2747,0.4971,0.532,0.2573
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.44,0.8154,0.8611,0.4211
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.44,0.6972,0.8611,0.4211
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.5904,0.4414
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.8406,0.4663
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,0.6608,0.4912
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.9125,0.6985
