Korpus,Family,query_id,kueri,B,GPL,exp5.4.2,Δ(GPL-B)
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.7508,0.1637
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.3714,0.1729
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.6747,0.8498,0.8896,0.1751
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.8406,0.1774
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.1939
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2747,0.4971,0.532,0.2224
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.44,0.6972,0.8611,0.2572
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.5904,0.3032
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.3157
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.5087,0.3392
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.7739,0.351
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.44,0.8154,0.8611,0.3754
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,0.6608,0.8304
