Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp5.4-B)
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.7906,-0.1118,0.2895,0.5774,-0.2887,0.0,0.8944,0.5774,0.5774,0.8944,0.9,0.9487,0.5774,0.5774
ID,gte-multilingual-base,16,harta yang paling bernilai,0.2887,0.3536,0.4472,-0.1581,-0.6669,0.7826,0.3536,-0.1539,-0.2236,0.7071,0.3591,0.3591,0.8721,0.8721,0.8721,0.5834
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.2052,0.7071,-0.7071,-0.1118,0.7906,-0.3536,0.6708,-0.7826,0.9,0.5774,0.7,0.9,0.7826,0.6669,0.7906,0.5854
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.6669,0.6882,1.0,0.8944,0.8944,-0.6669,-0.6669,0.0,0.3536,-0.6669,0.6156,0.8208,0.6708,0.8721,-0.0513,0.6156
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.9177,0.9733,0.866,0.2108,0.2108,0.9487,-0.1054,0.6325,0.2236,0.6842,0.5407,-0.2236,0.1081,0.6351
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.2236,-0.8944,-0.6708,-0.7906,-0.6708,0.7071,0.3536,0.1026,-0.0513,0.1026,0.2887,0.6708,0.1118,0.7274
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.1579,0.1026,0.2632,-0.6156,-0.3591,-0.5526,-0.4617,-0.3591,-0.1026,0.6156,0.9,0.7,1.0,0.8208,0.6,0.7579
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,-0.2887,0.7071,0.0,0.0,0.0,0.8944,0.0,0.866,0.866,0.866,0.8944,0.866,0.866,0.866
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,0.2887,-0.3591,0.7071,0.2236,-0.7182,-0.6,-0.7182,-0.4472,-0.0513,-0.2236,0.7071,,0.7826,0.1581,0.8836
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.2962,-0.9177,-0.9177,0.2294,0.8158,-0.6882,0.4588,-0.5923,-0.3441,0.3591,-0.8,-0.4104,-0.1,0.3078,0.6669,0.9631
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.7826,-0.1539,0.8208,0.8208,0.1026,-0.6156,-0.3591,0.8721,0.4472,0.5643,-0.2887,0.0,0.0,0.7182,1.0871
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,-0.866,-0.4472,-0.6,0.2236,0.2236,0.4472,0.5643,-0.1054,-0.866,-0.2052,-0.0513,-0.2236,0.866,1.1295
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,-0.7071,0.6325,0.8944,-0.3536,-0.7071,-0.4104,0.0,0.8944,0.6708,0.6708,0.6708,0.8944,0.6708,1.3779
ID,multilingual-e5-base,14,apa makna kekosongan,-0.7071,,-0.8885,-0.7071,0.6156,,,-0.6669,-0.5,-0.4472,,,0.7,-0.3162,0.7454,1.4525
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.7071,0.3591,0.4,0.2635,0.0527,0.0513,0.1539,0.7071,0.6708,0.8944,0.8944,0.8944,0.8944,1.6015
