Korpus,Family,query_id,kueri,B,GPL,exp4.3,Δ(GPL-B)
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2064,0.3602,0.9004,0.1538
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.7508,0.1672
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7104,0.8899,0.9043,0.1795
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.7443,0.1999
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.5368,0.2275
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.9435,0.2308
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4409,0.6728,0.4409,0.2319
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.0713,0.3008
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.9538,0.3107
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.333,0.6637,0.6539,0.3307
