Korpus,Family,query_id,kueri,B,GPL,exp4,Δ(GPL-B)
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.6299,0.7154,0.736,0.0855
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.4697,0.577,0.4705,0.1073
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6608,0.7817,0.786,0.1209
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8688,1.0,1.0,0.1312
ID,gte-multilingual-base,21,jenis jenis manusia,0.8539,1.0,1.0,0.1461
ID,gte-multilingual-base,10,kriteria kesucian,0.0,0.1461,0.0487,0.1461
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3156,0.4753,0.4632,0.1597
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.6026,0.8102,0.6678,0.2076
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4161,0.6786,0.4161,0.2625
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1539,0.4522,0.2901,0.2983
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.7071,0.3107
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.2979,0.7591,0.7669,0.4612
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.0974,0.6667,0.2542,0.5693
