Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp2-B)
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.4926,0.3713,0.3847,0.2118,0.3737,0.3197,0.3249,0.2688,0.3019,0.4565,0.5784,0.726,0.7476,0.6803,0.7208,0.5614,0.7208,0.5053,,-0.2808
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.8304,0.733,0.8383,0.8869,0.8869,0.9076,0.9513,0.8156,0.9513,0.9513,0.9435,0.9513,0.8721,0.88,1.0,1.0,0.9287,-0.267
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8432,0.5586,0.7026,0.8638,0.9026,0.7252,0.7302,1.0,0.6864,0.6864,0.8152,0.8152,0.8152,0.8383,0.8589,0.8589,0.354,-0.2359
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.6257,0.3733,0.5817,0.6729,0.5749,0.3766,0.684,0.8406,0.9012,0.8498,0.7984,0.8099,0.8406,0.7892,0.8406,0.8406,0.8556,-0.2282
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.4208,0.3333,0.3122,0.4307,0.6725,0.4307,0.6308,0.9435,0.7995,0.8152,0.476,0.354,1.0,1.0,0.5177,0.8432,,-0.2133
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.9125,0.354,0.6312,0.8573,0.8573,0.6312,0.6312,0.7739,0.7739,0.7739,0.7302,0.7739,0.7739,0.7739,0.7739,0.7739,,-0.2075
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.765,0.5882,0.54,0.5704,0.7259,0.5173,0.54,0.5173,0.5704,0.8613,0.8132,0.8132,0.4691,0.6646,0.7487,0.7968,0.5796,0.5477,,-0.1946
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,0.7739,0.6765,0.9125,0.8087,0.8087,0.8087,0.8432,0.9563,1.0,1.0,1.0,1.0,0.9563,0.9563,1.0,1.0,0.7557,-0.1873
ID,multilingual-e5-base,1,cara mengatasi kemarahan,0.7797,0.4803,0.5586,0.613,0.3712,0.7649,0.8073,0.7719,0.7797,0.7021,0.6745,0.6745,0.856,0.856,0.7429,0.7182,0.9435,0.8412,,-0.1667
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.7557,0.7557,0.7409,0.6534,0.6018,0.7665,0.7429,0.8638,0.9125,0.9125,1.0,0.9513,1.0,0.9125,1.0,0.9513,0.7113,-0.1312
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.76,0.7443,0.8638,0.8383,0.9026,0.8383,0.9563,0.9125,1.0,1.0,1.0,0.8869,1.0,0.9563,1.0,0.9435,,-0.1195
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9076,0.5949,0.6003,0.7896,0.8638,0.387,0.4695,0.3392,0.7227,0.9076,0.9435,0.9435,1.0,0.9563,0.7021,0.7586,0.6662,0.7227,,-0.118
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.7851,0.7033,0.6869,0.6765,0.6453,0.6765,0.6359,0.836,0.9357,0.9409,0.9439,1.0,0.9033,0.8524,0.8442,0.8442,0.9491,0.9033,,-0.1086
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.6587,0.6263,0.8498,0.6529,0.6413,0.7101,1.0248,0.907,0.9734,0.8406,0.8406,0.907,0.8498,0.8498,0.8406,0.8406,,-0.0998
ID,gte-multilingual-base,13,berbagai jenis pemberian,1.0,0.8152,0.8869,0.9026,0.9563,0.9026,0.8869,0.9026,1.0,0.9563,0.9125,0.9125,0.9563,0.9513,0.9563,0.9125,0.9563,1.0,0.8638,-0.0974
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.6349,0.4836,0.6847,0.4275,0.4275,0.4275,0.4899,0.6349,0.8179,0.8179,0.6349,0.8115,0.7175,0.309,0.3714,0.6349,,-0.0889
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.8688,1.0,0.9563,0.9563,1.0,1.0,0.9563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688,-0.0875
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.5541,0.3618,0.5563,0.3673,0.3673,0.3673,0.3673,0.4918,0.4918,0.4918,0.5541,0.4918,0.5704,0.39,0.5222,0.3673,0.6023,-0.0841
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,0.8227,0.8154,0.8154,0.9254,0.9254,0.912,0.9202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4602,-0.0746
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.2654,0.2964,0.3673,0.6164,0.2178,0.3532,0.4528,0.5455,0.3136,0.6327,0.3673,0.3673,0.5245,0.3673,0.2887,0.4209,0.5245,,-0.0482
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,0.8175,0.8154,0.8611,0.8227,0.8227,0.8154,0.8611,0.9491,0.9491,0.9491,1.0,1.0,0.89,0.9491,1.0,0.9491,,-0.0457
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,0.8539,0.9125,0.9563,0.8688,1.0,0.9563,0.9563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-0.0438
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.7665,0.8589,0.7714,0.9513,0.7537,0.9435,0.9435,0.856,0.9513,0.9125,0.9513,0.8638,0.9513,0.9125,0.9513,0.9513,,-0.0437
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.2427,0.2568,0.2568,0.2568,0.2286,0.2746,0.344,0.4273,0.3922,0.3673,0.3673,0.3673,0.3354,0.3836,0.4973,0.4918,,-0.0233
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7591,0.7154,0.7817,0.6716,0.6716,0.6229,0.6795,0.6052,0.8156,0.7817,0.738,0.7232,0.5615,0.5742,0.7817,0.7817,0.5177,-0.0028
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.435,0.6179,0.6179,0.435,0.435,0.435,0.5535,0.435,0.435,0.435,0.5644,0.5644,0.5644,0.435,0.435,0.435,0.435,0.435,,0.0
ID,multilingual-e5-base,25,perasaan malu dan takut,0.8412,0.618,0.6617,0.851,0.7867,0.6795,0.6795,0.7591,0.8304,0.6312,0.7817,0.6667,0.7797,0.738,0.738,0.7591,0.8721,0.8721,,0.0098
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9026,0.6774,0.8383,0.9125,1.0,0.7739,0.8869,0.9125,1.0,0.9563,0.9125,0.9125,0.9125,0.9563,0.9125,0.9125,0.9125,0.786,,0.0099
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5699,0.5932,0.626,0.599,0.599,0.519,0.538,0.6096,0.6821,0.435,0.683,0.683,0.435,0.6197,0.5644,0.5644,0.5644,0.5644,,0.0291
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0437
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.3392,0.6456,0.5418,0.5157,0.467,0.5157,0.5756,0.7034,0.6725,0.5108,0.7945,0.6097,0.5594,0.5594,0.6568,0.6469,,0.0474
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.4464,0.5029,0.3136,0.4047,0.4385,0.3899,0.3333,0.3609,0.5388,0.5388,0.3609,0.3205,0.4901,0.4901,0.4901,0.2075,,0.1081
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,1.0,0.7995,0.4365,0.6667,0.6667,0.6667,0.646,0.738,1.0,1.0,0.7739,0.5269,0.7586,0.7586,0.7508,0.6097,,0.1328
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.351,0.5173,0.5173,0.5082,0.765,0.5259,0.3814,0.4778,0.4832,0.6864,0.7882,0.8668,0.7205,0.7882,0.7113,0.8613,0.7882,0.7882,0.4691,0.1572
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.6747,0.8498,0.7562,0.8498,0.7752,0.6771,0.7072,0.7984,0.7562,0.5933,0.8648,0.8648,0.8324,0.7752,0.781,0.9012,0.8896,0.8896,0.5003,0.1751
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4668,0.3974,0.5953,0.6812,0.5496,0.5841,0.5466,0.563,0.5651,0.4668,0.4668,0.4668,0.6432,0.4668,0.4668,0.4668,0.4668,0.4668,0.6139,0.2144
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3486,0.4602,0.6648,0.563,0.6596,0.4823,0.4823,0.6596,0.585,0.3486,0.7511,0.4668,0.689,0.4668,0.4668,0.4668,0.4668,0.4668,,0.2144
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.3392,0.4105,0.4105,0.2901,0.2999,0.5269,0.0713,0.5875,0.6774,0.5722,0.6238,0.4105,0.6292,0.6617,0.5904,0.5722,0.5157,0.2615
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5269,0.6083,0.7741,0.7984,0.6199,0.6481,0.6747,0.6597,0.8347,0.6505,0.8648,0.8648,0.7926,0.7926,0.7833,0.9162,0.6505,0.9162,,0.2715
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2747,0.4971,0.3286,0.563,0.4647,0.4004,0.4513,0.2695,0.3152,0.4293,0.5829,0.6277,0.7851,0.506,0.6277,0.5989,0.532,0.6338,0.6287,0.2883
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,1.0,0.4273,0.6018,0.6406,1.0,0.9076,1.0,1.0,1.0,1.0,1.0,1.0,0.8688,1.0,0.9125,,0.3107
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,0.5296,0.7227,0.0,0.0565,0.7665,0.5296,0.467,0.0,0.0,1.0,0.8152,0.3957,0.0,0.9125,0.7227,0.0,0.3156
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.3345,0.0,0.0,0.6806,0.6505,0.5153,0.4431,0.732,0.7833,0.5759,0.5095,0.3917,0.5841,0.5327,0.4431,0.3917,0.3917,0.3917,,0.3461
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6667,0.9125,0.5973,0.5516,0.6229,0.5516,0.6101,0.8304,0.6795,0.6745,0.9435,0.8073,0.6795,0.6795,0.7867,0.7925,0.3432,0.3461
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4208,0.7797,0.7797,0.7797,0.736,0.7649,0.7521,0.7521,0.8087,0.5594,0.7797,0.7797,0.7797,0.7797,0.7797,0.8235,0.8235,0.8235,0.7104,0.3589
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,1.0,0.8869,1.0,1.0,0.8869,0.8869,0.8869,1.0,1.0,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,1.0,0.3594
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4208,0.6667,0.6667,0.7945,0.8849,0.6667,0.7797,0.7252,0.7182,0.7797,0.7797,0.7797,0.7797,0.7797,0.7797,0.7797,0.8235,0.8235,,0.3737
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,1.0,1.0,0.1696,0.8688,0.7227,0.786,0.1312,0.8688,0.8688,1.0,1.0,1.0,1.0,0.5148,0.5087,0.6992,,0.4704
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,1.0,0.8688,1.0,1.0,1.0,1.0,1.0,0.6608,1.0,1.0,1.0,1.0,0.3601,0.6608,1.0,0.3601,0.8304
