Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp6-B)
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0437
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.8611,0.8442,0.7851,0.5435,0.8072,0.8663,0.912,0.8611,0.8154,0.9409,0.9409,0.8524,0.7187,0.89,0.9409,0.9409,0.9409,0.9409,0.9543,0.0932
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.351,0.5173,0.5173,0.5082,0.765,0.5259,0.3814,0.4778,0.4832,0.6864,0.7882,0.8668,0.7205,0.7882,0.7113,0.8613,0.7882,0.7882,0.4691,0.1181
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4668,0.3974,0.5953,0.6812,0.5496,0.5841,0.5466,0.563,0.5651,0.4668,0.4668,0.4668,0.6432,0.4668,0.4668,0.4668,0.4668,0.4668,0.6139,0.1471
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.5541,0.3618,0.5563,0.3673,0.3673,0.3673,0.3673,0.4918,0.4918,0.4918,0.5541,0.4918,0.5704,0.39,0.5222,0.3673,0.6023,0.1564
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,1.0,0.8688,1.0,1.0,1.0,1.0,1.0,0.6608,1.0,1.0,1.0,1.0,0.3601,0.6608,1.0,0.3601,0.1905
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.6257,0.3733,0.5817,0.6729,0.5749,0.3766,0.684,0.8406,0.9012,0.8498,0.7984,0.8099,0.8406,0.7892,0.8406,0.8406,0.8556,0.2541
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4208,0.7797,0.7797,0.7797,0.736,0.7649,0.7521,0.7521,0.8087,0.5594,0.7797,0.7797,0.7797,0.7797,0.7797,0.8235,0.8235,0.8235,0.7104,0.2896
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2747,0.4971,0.3286,0.563,0.4647,0.4004,0.4513,0.2695,0.3152,0.4293,0.5829,0.6277,0.7851,0.506,0.6277,0.5989,0.532,0.6338,0.6287,0.354
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,1.0,0.8869,1.0,1.0,0.8869,0.8869,0.8869,1.0,1.0,0.8869,0.8869,0.8869,0.8869,0.8869,0.8869,1.0,0.3594
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.3392,0.4105,0.4105,0.2901,0.2999,0.5269,0.0713,0.5875,0.6774,0.5722,0.6238,0.4105,0.6292,0.6617,0.5904,0.5722,0.5157,0.3667
