Korpus,Family,query_id,kueri,B,GPL,exp4.3,Δ(GPL-B)
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.4899,0.1729
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.5153,0.1774
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.435,0.6179,0.435,0.1829
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.8254,0.191
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4208,0.6667,0.7182,0.2459
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.3542,0.2499
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.0713,0.3032
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.9076,0.3107
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.3157
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.1312,0.3392
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.6312,0.351
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4208,0.7797,0.8087,0.3589
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
