query_id,kueri,Model,Versi,Korpus,P@5,MRR@5
19,jenis jenis kemelekatan,bge-m3,B,ID,1.0,1.0
20,penggambaran terhadap keagungan buddha,bge-m3,B,ID,0.4,1.0
21,jenis jenis manusia,bge-m3,B,ID,0.8,0.5
22,cara mengikis kotoran batin,bge-m3,B,ID,0.4,1.0
23,penjelasan tentang pandangan terang,bge-m3,B,ID,1.0,1.0
24,apa yang terjadi pada saat pencapaian pencerahan,bge-m3,B,ID,1.0,1.0
25,perasaan malu dan takut,bge-m3,B,ID,1.0,1.0
26,bersatu di kehidupan selanjutnya,bge-m3,B,ID,0.0,0.0
27,jenis jenis karma buruk,bge-m3,B,ID,1.0,1.0
28,berbagai jenis perbuatan baik,bge-m3,B,ID,1.0,1.0
29,jenis orang yang tak boleh ditahbiskan,bge-m3,B,ID,0.0,0.0
30,apa itu proliferasi mental,bge-m3,B,ID,0.8,1.0
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,exp5.4,ID,0.8,1.0
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,exp5.4,ID,0.6,1.0
3,apa penyebab penderitaan,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
6,apa itu kemurahan hati,gpl-gte-multilingual-base,exp5.4,ID,0.2,1.0
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,exp5.4,ID,0.8,1.0
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,exp5.4,ID,0.6,1.0
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
10,kriteria kesucian,gpl-gte-multilingual-base,exp5.4,ID,0.6,1.0
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
13,berbagai jenis pemberian,gpl-gte-multilingual-base,exp5.4,ID,0.6,0.5
14,apa makna kekosongan,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
16,harta yang paling bernilai,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
18,penyebab gempa bumi,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,exp5.4,ID,0.4,0.25
21,jenis jenis manusia,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,exp5.4,ID,0.6,1.0
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,exp5.4,ID,0.4,0.5
25,perasaan malu dan takut,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,exp5.4,ID,0.6,1.0
27,jenis jenis karma buruk,gpl-gte-multilingual-base,exp5.4,ID,0.6,0.5
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
29,jenis orang yang tak boleh ditahbiskan,gpl-gte-multilingual-base,exp5.4,ID,0.4,1.0
30,apa itu proliferasi mental,gpl-gte-multilingual-base,exp5.4,ID,1.0,1.0
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,GPL,ID,0.0,0.0
3,apa penyebab penderitaan,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,GPL,ID,0.6,1.0
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
6,apa itu kemurahan hati,gpl-gte-multilingual-base,GPL,ID,0.4,1.0
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,GPL,ID,0.2,1.0
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,GPL,ID,0.4,1.0
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
10,kriteria kesucian,gpl-gte-multilingual-base,GPL,ID,0.2,0.25
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,GPL,ID,0.2,0.3333
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
13,berbagai jenis pemberian,gpl-gte-multilingual-base,GPL,ID,0.4,1.0
14,apa makna kekosongan,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
16,harta yang paling bernilai,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
18,penyebab gempa bumi,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,GPL,ID,0.2,0.25
21,jenis jenis manusia,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-gte-multilingual-base,GPL,ID,0.8,1.0
25,perasaan malu dan takut,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
26,bersatu di kehidupan selanjutnya,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
27,jenis jenis karma buruk,gpl-gte-multilingual-base,GPL,ID,0.4,1.0
28,berbagai jenis perbuatan baik,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
29,jenis orang yang tak boleh ditahbiskan,gpl-gte-multilingual-base,GPL,ID,0.0,0.0
30,apa itu proliferasi mental,gpl-gte-multilingual-base,GPL,ID,1.0,1.0
1,cara mengatasi kemarahan,gpl-multilingual-e5-base,exp5.4,ID,0.8,1.0
2,cara mengatasi ngantuk,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
3,apa penyebab penderitaan,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
4,mengapa harus membalas budi orangtua,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
5,perumpamaan perumpamaan,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
6,apa itu kemurahan hati,gpl-multilingual-e5-base,exp5.4,ID,0.6,1.0
7,penjelasan tentang perhatian murni,gpl-multilingual-e5-base,exp5.4,ID,0.8,1.0
8,manfaat pelaksaan sila,gpl-multilingual-e5-base,exp5.4,ID,0.6,1.0
9,jenis jenis kotoran batin,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
10,kriteria kesucian,gpl-multilingual-e5-base,exp5.4,ID,0.4,1.0
11,siapa yang layak disebut sebagai brahmana,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
12,kewajiban seorang bhikkhu,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
13,berbagai jenis pemberian,gpl-multilingual-e5-base,exp5.4,ID,0.4,0.5
14,apa makna kekosongan,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
16,harta yang paling bernilai,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
17,kewajiban seorang umat awam,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
18,penyebab gempa bumi,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
19,jenis jenis kemelekatan,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
20,penggambaran terhadap keagungan buddha,gpl-multilingual-e5-base,exp5.4,ID,0.2,0.2
21,jenis jenis manusia,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
22,cara mengikis kotoran batin,gpl-multilingual-e5-base,exp5.4,ID,0.8,1.0
23,penjelasan tentang pandangan terang,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
25,perasaan malu dan takut,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
26,bersatu di kehidupan selanjutnya,gpl-multilingual-e5-base,exp5.4,ID,0.4,0.25
27,jenis jenis karma buruk,gpl-multilingual-e5-base,exp5.4,ID,0.6,0.5
28,berbagai jenis perbuatan baik,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
29,jenis orang yang tak boleh ditahbiskan,gpl-multilingual-e5-base,exp5.4,ID,0.0,0.0
30,apa itu proliferasi mental,gpl-multilingual-e5-base,exp5.4,ID,1.0,1.0
1,cara mengatasi kemarahan,gpl-multilingual-e5-base,GPL,ID,0.4,1.0
2,cara mengatasi ngantuk,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
3,apa penyebab penderitaan,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
4,mengapa harus membalas budi orangtua,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
5,perumpamaan perumpamaan,gpl-multilingual-e5-base,GPL,ID,0.6,1.0
6,apa itu kemurahan hati,gpl-multilingual-e5-base,GPL,ID,0.4,1.0
7,penjelasan tentang perhatian murni,gpl-multilingual-e5-base,GPL,ID,0.4,1.0
8,manfaat pelaksaan sila,gpl-multilingual-e5-base,GPL,ID,0.4,1.0
9,jenis jenis kotoran batin,gpl-multilingual-e5-base,GPL,ID,0.6,1.0
10,kriteria kesucian,gpl-multilingual-e5-base,GPL,ID,0.2,0.25
11,siapa yang layak disebut sebagai brahmana,gpl-multilingual-e5-base,GPL,ID,0.0,0.0
12,kewajiban seorang bhikkhu,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
13,berbagai jenis pemberian,gpl-multilingual-e5-base,GPL,ID,0.4,1.0
14,apa makna kekosongan,gpl-multilingual-e5-base,GPL,ID,0.0,0.0
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
16,harta yang paling bernilai,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
17,kewajiban seorang umat awam,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
18,penyebab gempa bumi,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
19,jenis jenis kemelekatan,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
20,penggambaran terhadap keagungan buddha,gpl-multilingual-e5-base,GPL,ID,0.6,0.5
21,jenis jenis manusia,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
22,cara mengikis kotoran batin,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
23,penjelasan tentang pandangan terang,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
24,apa yang terjadi pada saat pencapaian pencerahan,gpl-multilingual-e5-base,GPL,ID,0.8,0.5
25,perasaan malu dan takut,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
26,bersatu di kehidupan selanjutnya,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
27,jenis jenis karma buruk,gpl-multilingual-e5-base,GPL,ID,0.2,0.5
28,berbagai jenis perbuatan baik,gpl-multilingual-e5-base,GPL,ID,0.8,1.0
29,jenis orang yang tak boleh ditahbiskan,gpl-multilingual-e5-base,GPL,ID,0.0,0.0
30,apa itu proliferasi mental,gpl-multilingual-e5-base,GPL,ID,1.0,1.0
1,cara mengatasi kemarahan,gte-multilingual-base,B,ID,0.6,0.5
2,cara mengatasi ngantuk,gte-multilingual-base,B,ID,0.2,0.5
3,apa penyebab penderitaan,gte-multilingual-base,B,ID,1.0,1.0
4,mengapa harus membalas budi orangtua,gte-multilingual-base,B,ID,0.8,1.0
5,perumpamaan perumpamaan,gte-multilingual-base,B,ID,1.0,1.0
6,apa itu kemurahan hati,gte-multilingual-base,B,ID,0.2,1.0
7,penjelasan tentang perhatian murni,gte-multilingual-base,B,ID,1.0,1.0
8,manfaat pelaksaan sila,gte-multilingual-base,B,ID,0.2,0.25
9,jenis jenis kotoran batin,gte-multilingual-base,B,ID,0.6,1.0
10,kriteria kesucian,gte-multilingual-base,B,ID,0.0,0.0
11,siapa yang layak disebut sebagai brahmana,gte-multilingual-base,B,ID,0.8,1.0
12,kewajiban seorang bhikkhu,gte-multilingual-base,B,ID,1.0,1.0
13,berbagai jenis pemberian,gte-multilingual-base,B,ID,0.4,1.0
14,apa makna kekosongan,gte-multilingual-base,B,ID,0.8,1.0
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gte-multilingual-base,B,ID,1.0,1.0
16,harta yang paling bernilai,gte-multilingual-base,B,ID,1.0,1.0
17,kewajiban seorang umat awam,gte-multilingual-base,B,ID,0.8,0.5
18,penyebab gempa bumi,gte-multilingual-base,B,ID,1.0,1.0
19,jenis jenis kemelekatan,gte-multilingual-base,B,ID,1.0,1.0
20,penggambaran terhadap keagungan buddha,gte-multilingual-base,B,ID,0.2,0.3333
21,jenis jenis manusia,gte-multilingual-base,B,ID,0.8,1.0
22,cara mengikis kotoran batin,gte-multilingual-base,B,ID,0.6,1.0
23,penjelasan tentang pandangan terang,gte-multilingual-base,B,ID,0.4,0.25
24,apa yang terjadi pada saat pencapaian pencerahan,gte-multilingual-base,B,ID,0.8,1.0
25,perasaan malu dan takut,gte-multilingual-base,B,ID,1.0,1.0
26,bersatu di kehidupan selanjutnya,gte-multilingual-base,B,ID,1.0,1.0
27,jenis jenis karma buruk,gte-multilingual-base,B,ID,0.8,1.0
28,berbagai jenis perbuatan baik,gte-multilingual-base,B,ID,0.8,1.0
29,jenis orang yang tak boleh ditahbiskan,gte-multilingual-base,B,ID,0.2,0.3333
30,apa itu proliferasi mental,gte-multilingual-base,B,ID,1.0,1.0
1,cara mengatasi kemarahan,multilingual-e5-base,B,ID,1.0,1.0
2,cara mengatasi ngantuk,multilingual-e5-base,B,ID,0.6,1.0
3,apa penyebab penderitaan,multilingual-e5-base,B,ID,1.0,1.0
4,mengapa harus membalas budi orangtua,multilingual-e5-base,B,ID,0.8,1.0
5,perumpamaan perumpamaan,multilingual-e5-base,B,ID,1.0,1.0
6,apa itu kemurahan hati,multilingual-e5-base,B,ID,0.2,1.0
7,penjelasan tentang perhatian murni,multilingual-e5-base,B,ID,0.4,0.3333
8,manfaat pelaksaan sila,multilingual-e5-base,B,ID,0.4,1.0
9,jenis jenis kotoran batin,multilingual-e5-base,B,ID,0.6,0.5
10,kriteria kesucian,multilingual-e5-base,B,ID,0.2,0.25
11,siapa yang layak disebut sebagai brahmana,multilingual-e5-base,B,ID,1.0,1.0
12,kewajiban seorang bhikkhu,multilingual-e5-base,B,ID,0.8,1.0
13,berbagai jenis pemberian,multilingual-e5-base,B,ID,0.4,1.0
14,apa makna kekosongan,multilingual-e5-base,B,ID,1.0,1.0
15,apa kualitas yang harus dimiliki oleh seorang penceramah,multilingual-e5-base,B,ID,1.0,1.0
16,harta yang paling bernilai,multilingual-e5-base,B,ID,1.0,1.0
17,kewajiban seorang umat awam,multilingual-e5-base,B,ID,1.0,1.0
18,penyebab gempa bumi,multilingual-e5-base,B,ID,1.0,1.0
19,jenis jenis kemelekatan,multilingual-e5-base,B,ID,1.0,1.0
20,penggambaran terhadap keagungan buddha,multilingual-e5-base,B,ID,0.6,1.0
21,jenis jenis manusia,multilingual-e5-base,B,ID,1.0,1.0
22,cara mengikis kotoran batin,multilingual-e5-base,B,ID,0.6,1.0
23,penjelasan tentang pandangan terang,multilingual-e5-base,B,ID,1.0,1.0
24,apa yang terjadi pada saat pencapaian pencerahan,multilingual-e5-base,B,ID,1.0,1.0
25,perasaan malu dan takut,multilingual-e5-base,B,ID,1.0,1.0
26,bersatu di kehidupan selanjutnya,multilingual-e5-base,B,ID,0.2,0.25
27,jenis jenis karma buruk,multilingual-e5-base,B,ID,1.0,1.0
28,berbagai jenis perbuatan baik,multilingual-e5-base,B,ID,1.0,1.0
29,jenis orang yang tak boleh ditahbiskan,multilingual-e5-base,B,ID,0.4,0.5
30,apa itu proliferasi mental,multilingual-e5-base,B,ID,1.0,1.0
