Korpus,Family,query_id,kueri,B,GPL,exp5.4.3,Δ(exp5.4.3-B)
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.9513,0.0644
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.4054,0.0,0.4748,0.0694
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.9435,0.0797
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.9914,0.0841
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,0.9491,0.088
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4155,0.1246,0.5245,0.109
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,1.0,0.11
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.8406,0.1145
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.9518,0.1246
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.5167,0.1308
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,1.0,0.1362
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.6992,0.1696
ID,multilingual-e5-base,10,kriteria kesucian,0.2801,0.1018,0.4918,0.2117
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.7739,0.2124
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.6747,0.8498,0.8896,0.2149
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.9125,0.2232
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,0.6135,0.161,0.839,0.2255
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.7925,0.2261
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.8406,0.2391
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.2463
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.5466,0.2896,0.8432,0.2966
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2894,0.5237,0.6678,0.3784
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5269,0.6083,0.9162,0.3893
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.44,0.8154,0.8611,0.4211
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.44,0.6972,0.8611,0.4211
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.5722,0.4232
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.8406,0.4663
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.7227,0.5087
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
