Korpus,Family,query_id,kueri,B,GPL,exp2,Δ(GPL-B)
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6599,-0.0527
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.9033,-0.0448
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.934,-0.0119
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,1.0,-0.0029
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.7302,0.0053
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.648,0.6542,0.7916,0.0062
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.6767,0.0124
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.5441,0.0204
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.7238,0.0206
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,0.9344,0.0219
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8003,0.8405,0.8954,0.0402
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.4829,0.0423
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6981,0.044
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5535,0.6242,0.6393,0.0707
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.691,0.0928
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6563,0.1001
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.3928,0.1057
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7263,0.852,0.8809,0.1257
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.3403,0.1673
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.3729,0.1733
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7263,0.9098,0.8743,0.1835
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.9319,0.1999
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.4756,0.2275
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,0.2308
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4538,0.6925,0.6429,0.2387
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.3392,0.3008
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.6798,0.3387
