Korpus,Family,query_id,kueri,B,GPL,exp5.3,Δ(GPL-B)
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.765,0.5882,0.6646,-0.1768
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8638,0.6956,0.8869,-0.1682
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5982,0.4444,0.6097,-0.1538
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8869,0.7557,0.9513,-0.1312
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.8721,0.9513,-0.1279
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.519,0.3913,0.7168,-0.1277
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8638,0.7739,1.0,-0.0899
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.8611,0.7717,1.0,-0.0894
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9563,0.8688,1.0,-0.0875
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8272,0.741,0.8982,-0.0862
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.5167,0.4399,0.5167,-0.0768
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.9026,0.8688,0.8638,-0.0338
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.89,0.8663,1.0,-0.0237
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.9073,0.8895,0.9377,-0.0178
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.6565,0.0246
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.7232,0.0409
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.3205,0.0516
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.4918,0.06
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6015,0.6771,0.8099,0.0756
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.7261,0.8058,0.907,0.0797
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.8651,0.0889
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.8073,0.1003
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8152,0.1081
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3859,0.5095,0.5167,0.1236
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,0.5269,0.1637
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.351,0.5173,0.7882,0.1663
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.8115,0.1729
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.8461,0.191
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.4608,0.1939
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2894,0.5237,0.5331,0.2343
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4637,0.7346,0.8591,0.2709
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.4105,0.3032
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,0.8869,0.3157
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,1.0,0.3392
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.7739,0.351
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4637,0.8591,0.8591,0.3954
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
