Korpus,Family,query_id,kueri,B,GPL,exp5.0,Δ(GPL-B)
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.6038,0.6284,0.7235,0.0246
ID,gte-multilingual-base,25,perasaan malu dan takut,0.7182,0.7591,0.8156,0.0409
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9563,1.0,1.0,0.0437
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9563,1.0,1.0,0.0437
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3948,0.4464,0.5388,0.0516
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.4459,0.5059,0.4918,0.06
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.5353,0.6026,0.802,0.0673
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.6462,0.7171,0.8663,0.0709
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.9439,0.0889
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6795,0.1003
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.6864,0.1081
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.3486,0.4602,0.7511,0.1116
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,1.0,0.1637
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.8179,0.1729
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3743,0.5517,0.8406,0.1774
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.9439,0.191
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.598,0.1939
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2747,0.4971,0.5829,0.2224
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4637,0.7346,0.8591,0.2709
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.6774,0.3032
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,0.3157
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,0.8688,0.3392
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.7739,0.351
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4637,0.8591,0.8591,0.3954
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,0.6608,0.8304
