Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,Δ(exp4.3-B)
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.8721,0.6325,0.3354,0.1118,0.7906,0.6325,0.7906,0.5774,0.0,0.527,0.527,0.0,0.1581,0.0,0.527,0.0,-0.2887,-0.2886
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.2294,0.2236,0.5643,0.9747,0.1539,0.8721,0.6669,0.7182,-0.0513,0.8944,0.6669,0.7,0.7,0.6669,0.7,0.2,0.6669,0.7,-0.2807
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.1622,0.3591,0.3162,0.6325,0.4617,0.6669,0.8721,0.6669,-0.1026,0.0,0.4104,0.5,0.6669,0.8721,0.1539,0.1539,0.0,0.0,-0.2648
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.527,0.6882,0.3162,0.1,-0.3,0.6669,0.6,0.6,0.3,0.4617,0.8208,-0.1118,-0.1118,0.6,0.125,0.125,-0.1118,0.9177,-0.227
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.3162,-0.3162,0.6708,-0.4104,0.2,-0.5643,-0.2635,-0.1539,0.1026,-0.4,-0.2052,-0.3591,0.4,0.4,-0.9177,-0.7906,-0.3,-0.6,-0.2136
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7906,0.6156,0.5643,0.7906,-0.2887,-0.1054,0.6325,0.7906,0.5774,0.0,0.527,0.527,0.527,0.0,0.527,0.527,0.527,-0.3689,-0.2132
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.3536,0.0527,-0.3162,-0.9747,0.4588,-0.3162,-0.527,-0.4,0.1581,0.0513,0.1,0.1,-0.2,0.0513,0.1,0.1,-0.2,-0.2,-0.1955
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.8944,-0.1026,0.6669,0.1118,0.866,0.5643,0.3354,0.2236,0.7071,0.7071,0.7071,0.7071,,0.0,0.7071,0.7071,,0.0,-0.1873
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,-0.1026,0.1539,0.9747,0.9733,-0.1539,-0.0513,0.0513,0.0513,0.8944,0.5643,0.5643,0.3162,0.3,0.7182,0.7182,0.6,0.6,-0.1723
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.866,0.9487,0.6325,0.2962,0.866,0.2294,-0.9177,,0.7746,0.866,0.0,0.0,,0.7071,0.8839,0.8721,0.9487,0.7746,-0.0914
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.2962,-0.9177,-0.9177,0.2294,0.8158,-0.6882,0.4588,-0.5923,-0.3441,0.4,-0.9,-0.4104,-0.1,0.4,0.6669,-0.1539,0.4,0.4,-0.0479
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.7255,0.7826,0.6,1.0,0.2294,0.5643,0.5643,0.5643,0.7255,-0.2163,-0.7,-0.0278,-0.8,-0.0278,-0.0278,-0.0278,-0.0278,-0.0278,0.0
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.7071,0.7071,0.3536,0.7071,0.7071,0.7071,,0.7071,0.7071,,,,,,,,,,0.0
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.0,0.3536,-0.2887,0.7071,0.0,0.0,0.0,0.8944,0.0,0.866,0.866,0.866,0.8944,0.866,0.866,0.866,0.866,0.866,0.0
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.5441,0.3078,0.5263,-0.0513,0.1026,-0.7071,,,0.5441,0.3441,0.7071,0.7071,0.6669,0.8208,0.4472,0.7071,0.4472,0.1118,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.8944,0.8944,0.7071,0.7071,0.7071,0.1053,0.7071,0.7071,0.4472,0.5643,0.5643,0.5,0.2052,0.2236,0.2236,0.4472,0.4472,0.0
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.7071,0.3536,0.3078,0.8944,0.2236,0.7071,0.0,0.9747,0.4472,0.2236,0.2052,-0.4472,-0.3591,0.2052,-0.2052,0.6708,0.0
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.3591,0.3591,0.3591,0.1581,0.6156,0.1,0.2052,0.9747,0.4104,-0.0278,-0.0278,-0.0278,-0.6669,-0.0278,-0.0278,-0.0278,-0.0278,-0.0278,0.0513
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.7379,0.9747,0.7,0.4104,0.3078,0.8208,0.7379,0.9211,-0.3162,0.9747,0.9747,0.4,0.2052,0.5643,0.1539,0.3591,0.3591,0.0551
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.1579,0.1026,0.2632,-0.6156,-0.3591,-0.5526,-0.4617,-0.3591,-0.1026,0.6156,0.9,0.7,1.0,0.8208,0.6,0.4617,0.6669,0.3,0.0553
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.2052,,,,0.0,0.8721,0.0513,,0.2887,,0.7071,0.7071,0.7071,0.7071,,0.7071,0.7071,0.7071,0.0835
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.1054,0.0513,0.527,0.7906,-0.2052,-0.1,-0.3591,-0.3,0.2052,0.6325,0.1,0.1,0.5,-0.5,0.1,0.1,0.1,-0.5,0.0998
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.1118,0.6708,-0.2236,0.7906,0.7906,0.4472,0.1118,0.8944,0.7071,0.7071,,0.3536,,0.7071,,0.3536,0.1118
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.3162,-0.3536,-0.3536,-0.2635,-0.8944,0.6669,0.8944,0.3591,0.4472,-0.866,0.6669,0.5643,-0.3536,0.7071,0.6669,0.6669,0.2236,0.6669,0.131
ID,multilingual-e5-base,14,apa makna kekosongan,-0.7071,,-0.8885,-0.7071,0.3078,,,-0.6669,-0.5,-0.6708,,,0.7,-0.7379,0.7454,0.7454,-0.5789,-0.4617,0.2071
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.2236,0.3078,0.6,-0.5643,0.2,-0.4472,-0.6708,-0.7,0.0,0.1,0.1,0.1,0.3,0.4104,0.1,0.1,-0.2,-0.6,0.2236
ID,multilingual-e5-base,24,apa yang terjadi pada saat pencapaian pencerahan,-0.7255,0.2887,-0.3591,0.7071,0.2236,-0.7182,-0.6,-0.7182,-0.4472,-0.0513,-0.4,0.0513,-0.7071,0.8721,-0.7,-0.1026,-0.6,0.8,0.2783
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.3078,-0.3689,-0.5643,-0.25,-0.7826,-0.3953,-0.3627,0.7906,0.6708,0.8208,-0.5,0.3536,-0.7906,-1.0,-0.7906,-1.0,-1.0,-0.7906,0.363
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.527,0.7255,0.9177,0.9733,0.866,0.2108,0.2108,0.9487,-0.1054,0.6325,0.2236,0.6842,0.5407,-0.2236,0.1081,0.1054,0.6325,0.0,0.4216
ID,gte-multilingual-base,7,penjelasan tentang perhatian murni,0.2887,0.9747,0.3,0.2294,0.7826,0.4743,0.9747,0.3,0.9747,0.7071,0.8721,0.6669,0.8721,0.9,-0.8,0.7182,0.2052,0.8,0.686
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.2052,0.7071,-0.7071,-0.1118,0.7906,-0.3536,0.6708,-0.7826,0.9,0.5774,0.7,0.9,0.7826,0.6669,0.7906,0.7906,0.6,0.4472,0.6948
ID,multilingual-e5-base,3,apa penyebab penderitaan,-0.7071,,-0.7071,0.6325,0.8944,-0.3536,-0.7071,-0.4104,0.0,0.8944,0.6708,0.6708,0.6708,0.8944,0.6708,0.6708,0.8944,0.8944,0.7071
ID,gte-multilingual-base,25,perasaan malu dan takut,-0.2635,-0.866,-0.866,-0.4472,-0.6,0.2236,0.2236,0.4472,0.5643,-0.1054,-0.866,-0.2052,-0.3591,-0.2236,0.866,0.866,-0.1118,-0.1118,0.8278
ID,gte-multilingual-base,3,apa penyebab penderitaan,-0.7071,0.7071,0.7071,0.3591,0.4,0.2635,0.0527,0.0513,0.1539,0.7071,0.6708,0.8944,0.8944,0.8944,0.8944,0.8944,0.8944,0.8944,0.861
ID,gte-multilingual-base,12,kewajiban seorang bhikkhu,0.0,0.9487,0.7906,-0.1118,0.2895,0.5774,-0.2887,0.0,0.8944,0.5774,0.5774,0.8944,0.9,0.9487,0.5774,0.5774,0.5774,0.5774,0.8944
ID,gte-multilingual-base,10,kriteria kesucian,-0.6156,-0.7906,-0.2236,-0.8944,-0.6708,-0.7906,-0.6708,0.7071,0.3536,0.1026,-0.0513,0.1026,0.2887,0.6708,0.4104,0.8721,0.9747,0.4472,0.9692
ID,gte-multilingual-base,8,manfaat pelaksaan sila,-0.6669,0.6882,1.0,0.8944,0.8944,-0.6669,-0.6669,0.0,0.3536,-0.6669,0.6156,0.8208,0.6669,0.9,-0.0513,0.1026,-0.1026,0.9,1.0205
ID,multilingual-e5-base,10,kriteria kesucian,-0.3689,-0.7826,-0.1539,0.7,0.8208,0.1026,-0.6156,-0.4,0.8,0.4472,0.6,0.0,0.0,0.0,0.7182,0.6,0.4617,0.2052,1.1689
