Korpus,Family,query_id,kueri,B,GPL,exp5.4.3,Δ(exp5.4.3-B)
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,0.9435,0.1962
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2244,0.3917,0.4237,0.1993
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6321,0.6381,0.8361,0.204
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7263,0.9098,0.9321,0.2058
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7263,0.852,0.9321,0.2058
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,0.9344,0.2451
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.9267,0.2932
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4398,0.6553,0.7358,0.296
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.5128,0.2966
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.5697,0.3081
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.5479,0.3965
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.7592,0.4181
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.7227,0.5087
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1417,0.315,0.9462,0.8045
