Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,Δ(GPL-B)
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6321,0.6381,0.7158,0.7099,0.5547,0.6472,0.7017,0.6201,0.752,0.006
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.7689,0.8883,0.8176,0.9294,0.7819,0.95,0.95,0.0124
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8795,0.7958,0.7252,0.8358,0.8358,0.779,0.7978,0.0204
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.8848,0.7652,0.9563,0.9043,0.9043,0.9043,0.9216,0.0206
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.8688,1.0,0.9563,0.9563,1.0,1.0,0.0219
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.7555,0.8223,0.71,0.7147,0.7492,0.831,0.8,0.0392
ID,gte-multilingual-base,24,apa yang terjadi pada saat pencapaian pencerahan,0.6479,0.6902,0.6589,0.2773,0.6221,0.3337,0.4062,0.4062,0.5114,0.0423
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6461,0.5964,0.7798,0.3072,0.3563,0.5087,0.6645,0.044
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5378,0.6064,0.648,0.6632,0.5241,0.5124,0.522,0.6515,0.6673,0.0686
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.691,0.8138,0.5585,0.6372,0.7013,0.5974,0.6582,0.0928
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6627,0.2811,0.5987,0.734,0.6213,0.3822,0.7522,0.1001
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.4503,0.5474,0.4231,0.4093,0.4797,0.3903,0.2603,0.1057
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7104,0.8333,0.801,0.8407,0.8987,0.831,0.8296,0.8325,0.8235,0.1229
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2126,0.371,0.2909,0.735,0.7692,0.4092,0.3051,0.7916,0.8053,0.1584
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.3597,0.283,0.382,0.6109,0.5772,0.5419,0.7143,0.1672
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7104,0.8899,0.8899,0.8992,0.8108,0.8825,0.8761,0.8651,0.8902,0.1795
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.9563,0.4253,0.688,0.9287,0.9287,0.7321,0.7443,0.1999
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4642,0.6917,0.5239,0.6352,0.6027,0.5531,0.6115,0.4608,0.5368,0.2275
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,1.0,0.9435,0.9918,1.0,0.9343,0.9343,0.2308
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4409,0.6728,0.6728,0.4409,0.4409,0.4409,0.5243,0.4409,0.4409,0.2319
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.3392,0.3748,0.4105,0.2901,0.2999,0.5269,0.0713,0.3008
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,1.0,0.4637,0.6356,0.65,1.0,0.8922,0.3107
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.6798,0.5384,0.8224,0.6885,0.5433,0.6643,0.6328,0.3387
