Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp5.4-B)
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.9563,0.4253,0.6782,0.9287,0.9287,0.7274,0.7443,0.8674,0.8701,0.8701,0.8149,0.8475,0.8701,0.1137
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8083,0.7456,0.6932,0.6805,0.7688,0.5794,0.5436,0.7736,0.9586,0.9711,0.9228,1.0,0.9528,0.9279,0.9239,0.1156
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2126,0.371,0.2909,0.7428,0.777,0.4145,0.3051,0.7969,0.8176,0.4539,0.407,0.2688,0.7805,0.7542,0.3464,0.1338
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.691,0.8121,0.5543,0.6356,0.7013,0.5948,0.6561,0.8795,0.7513,0.7801,0.8577,0.7595,0.7391,0.1409
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7776,0.7557,0.7409,0.6534,0.6018,0.7665,0.7429,0.893,0.9235,0.9235,1.0,0.9586,1.0,0.1413
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,1.0,0.9435,0.9869,1.0,0.9289,0.9289,0.9435,1.0,0.9694,0.9078,0.9265,0.9022,0.1549
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7104,0.8333,0.7957,0.8407,0.8987,0.8119,0.7994,0.8174,0.8235,0.8767,0.8736,0.8736,0.8736,0.8767,0.8736,0.1632
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7104,0.8899,0.8899,0.8862,0.8108,0.8825,0.8761,0.8651,0.8902,0.7797,0.8736,0.8767,0.8767,0.8767,0.8767,0.1663
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6627,0.2811,0.5987,0.734,0.6213,0.3822,0.7522,0.8289,0.8269,0.8269,0.8094,0.871,0.8289,0.1954
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5378,0.6064,0.648,0.6632,0.5241,0.5124,0.522,0.6515,0.6862,0.4873,0.7453,0.7453,0.5203,0.6103,0.7393,0.2015
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,0.7094,0.1448,0.2629,0.2387,0.2631,0.2884,0.5737,0.3321,0.6704,0.9499,0.7328,0.7955,0.4224,0.5103,0.9353,0.2259
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.4503,0.5629,0.46,0.4145,0.4849,0.3988,0.2896,0.362,0.6236,0.6236,0.4931,0.4558,0.5911,0.2359
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.1921,0.2101,0.2101,0.1068,0.0778,0.3054,0.1927,0.285,0.4724,0.441,0.4292,0.5739,0.5021,0.2405
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.2877,0.3994,0.3994,0.3331,0.2986,0.4019,0.4057,0.4717,0.4446,0.4529,0.425,0.425,0.4633,0.2471
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,0.5296,0.7227,0.0535,0.0424,0.7555,0.5296,0.4596,0.0,0.0,0.9825,0.9003,0.4774,0.2634
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4467,0.6656,0.5366,0.6113,0.58,0.5284,0.5958,0.4395,0.5166,0.6186,0.7091,0.7166,0.8031,0.6273,0.7166,0.2699
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5508,0.4986,0.5381,0.2827,0.4926,0.4249,0.4328,0.373,0.4057,0.5668,0.6798,0.8031,0.8167,0.7679,0.8378,0.287
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,1.0,0.4637,0.6403,0.6547,1.0,0.9003,1.0,0.9825,0.9825,0.9825,0.9825,1.0,0.3107
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.3597,0.283,0.382,0.6186,0.5772,0.5419,0.7204,0.7034,0.4347,0.4288,0.4629,0.3822,0.5372,0.4005
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3387,0.6751,0.6751,0.5347,0.8313,0.6837,0.5395,0.6597,0.643,0.7532,0.8007,0.8593,0.823,0.8595,0.8091,0.4704
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.3392,0.3748,0.4105,0.2901,0.2999,0.5269,0.0713,0.531,0.6774,0.5941,0.6442,0.4889,0.6649,0.5135
