Korpus,Family,query_id,kueri,B,GPL,exp1,Δ(GPL-B)
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1309,0.0,0.0,-0.1309
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8573,0.7443,0.7443,-0.113
ID,gte-multilingual-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,1.0,0.9026,0.76,-0.0974
ID,gte-multilingual-base,16,harta yang paling bernilai,1.0,0.9026,0.8432,-0.0974
ID,multilingual-e5-base,19,jenis jenis kemelekatan,1.0,0.9125,0.9026,-0.0875
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.8524,0.7696,0.7239,-0.0828
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8304,0.7557,0.7995,-0.0747
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.9073,0.8344,0.9073,-0.0729
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.8152,0.7443,0.5734,-0.0709
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.7075,0.6462,0.6432,-0.0613
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.9435,0.8869,0.6548,-0.0566
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8304,0.786,0.6992,-0.0444
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.1246,0.0964,0.0964,-0.0282
ID,multilingual-e5-base,3,apa penyebab penderitaan,1.0,1.0,0.8869,0.0
ID,multilingual-e5-base,10,kriteria kesucian,0.1461,0.1461,0.3122,0.0
ID,gte-multilingual-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,3,apa penyebab penderitaan,1.0,1.0,1.0,0.0
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,19,jenis jenis kemelekatan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,1.0,1.0,0.0
ID,gte-multilingual-base,14,apa makna kekosongan,0.8688,0.8688,0.8688,0.0
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5892,0.6078,0.6721,0.0186
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.4704,0.4959,0.3957,0.0255
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.1131,0.1411,0.1617,0.028
ID,multilingual-e5-base,16,harta yang paling bernilai,0.9513,1.0,1.0,0.0487
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8539,0.9125,0.7714,0.0586
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.9073,0.979,0.9073,0.0717
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.6299,0.7154,0.7154,0.0855
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.0974,0.1848,0.0,0.0874
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.4697,0.577,0.6241,0.1073
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6608,0.7817,0.6943,0.1209
ID,gte-multilingual-base,21,jenis jenis manusia,0.8539,1.0,1.0,0.1461
ID,gte-multilingual-base,10,kriteria kesucian,0.0,0.1461,0.1696,0.1461
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3156,0.4753,0.4542,0.1597
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.6026,0.8102,0.6669,0.2076
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4161,0.6786,0.6786,0.2625
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1539,0.4522,0.3392,0.2983
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
