Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,Δ(exp4.1-B)
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.4472,0.5774,0.0,0.0,0.2887,0.4472,0.4443,0.866,0.0,-0.3536,-0.7454,-0.3536,-0.9487,-0.3536,-0.3536,-0.0029
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.866,0.8944,0.8944,0.7906,0.6708,0.2887,0.866,0.4472,0.803,-0.2887,0.9487,0.9487,0.527,0.2236,0.5774,0.0
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.0,0.0,,-0.7906,0.6325,0.4743,0.0,0.0,,0.4472,,0.9487,0.866,0.866,0.5774,0.0
ID,gte-multilingual-base,17,kewajiban seorang umat awam,-0.7071,0.2236,0.6669,-0.3354,0.1539,-0.3536,-0.7071,-0.527,0.3441,-0.2887,-0.1118,0.2887,0.2887,0.2887,-0.2887,0.0
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.866,0.6325,0.866,0.2887,-0.3536,0.866,0.866,0.866,0.5774,0.0,0.0,0.0,0.0,0.1581,0.0,0.0
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.866,0.5774,0.866,0.866,-0.2887,0.2887,0.866,0.866,0.5774,0.0,0.2887,0.2887,0.2887,0.0,0.2887,0.0
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.7071,0.866,0.866,0.7071,0.7071,0.7071,0.7255,0.7071,0.7071,0.4472,0.866,0.6325,0.6325,0.3162,0.2236,0.0184
ID,multilingual-e5-base,10,kriteria kesucian,-0.3536,-0.3536,0.2236,0.8208,0.8208,0.2887,-0.2887,0.0,0.6708,0.2887,0.6669,-0.2887,0.0,0.0,0.866,0.0649
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.2236,0.2887,0.5774,0.866,0.7255,0.2887,0.2887,0.0,0.5407,0.8944,0.8885,0.6489,0.2052,0.8721,0.6669,0.0651
ID,multilingual-e5-base,9,jenis jenis kotoran batin,-0.4588,0.4617,0.2368,-0.7379,-0.1581,-0.5263,-0.3591,-0.4743,0.0,0.4743,0.9487,0.2887,0.5774,0.7071,-0.2887,0.0997
ID,multilingual-e5-base,23,penjelasan tentang pandangan terang,0.5774,-0.7255,-0.7255,0.4743,-0.6325,-0.8885,0.7255,-0.8885,0.0,0.3536,0.6325,0.2887,,-0.7071,0.2887,0.1481
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.0,-0.7071,0.7071,,0.2236,0.8944,0.2236,0.7071,0.0,0.8944,,0.2236,0.3162,-0.4472,-0.3591,0.2236
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.0,0.3536,0.2635,0.3591,0.5643,0.0527,0.2236,-0.5774,-0.9487,-0.2236,0.9487,0.9487,0.2236,0.2236,-0.2236,0.2236
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.3536,0.3536,0.8944,0.866,0.8944,0.866,0.7826,,,0.6708,,0.7071,0.3536,0.866,0.3536,0.429
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.0,-0.3536,0.2887,-0.2887,-0.3536,-0.1581,0.4472,0.5774,0.3536,,0.3536,,,,,0.4472
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3947,0.1581,0.3536,0.9487,0.2052,0.8721,0.9487,0.7906,-0.2108,0.7071,0.5798,0.7071,0.2108,0.6708,0.7071,0.554
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.0,0.4104,0.3162,0.7906,0.527,0.6708,0.6708,0.6708,0.0,0.0,0.6708,0.6708,0.6325,0.6325,0.1054,0.6708
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.0,-0.3536,-0.3536,-0.2635,-0.7071,0.8944,0.7071,0.3591,0.4472,-0.3536,0.8944,0.866,-0.2887,0.1054,0.866,0.7071
ID,multilingual-e5-base,11,siapa yang layak disebut sebagai brahmana,-0.1481,,-0.7071,-0.1118,0.3536,-0.3536,0.5774,-0.3536,0.6325,0.7071,0.7906,0.7071,0.8944,0.4472,0.866,0.7255
ID,gte-multilingual-base,26,bersatu di kehidupan selanjutnya,-0.7071,0.7255,0.9177,0.8885,0.866,0.0,0.0513,0.9747,0.3354,0.866,0.5643,0.4588,0.2962,0.2887,0.1081,0.7584
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.0,0.4472,0.0,0.6708,-0.2236,0.7906,0.7906,0.4472,0.1118,0.866,0.7071,0.7071,,0.3536,,0.7906
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,-0.6489,-0.8885,-0.8885,-0.1579,0.73,-0.5923,0.4588,-0.5923,-0.2962,-0.3536,-0.6708,-0.3354,0.0,0.2887,0.2887,1.1077
ID,multilingual-e5-base,1,cara mengatasi kemarahan,-0.7255,0.2236,-0.3162,0.0,-0.7826,0.4617,0.5643,0.6708,0.4596,0.9487,0.3078,0.2635,-0.2236,0.0,0.2108,1.2898
