Korpus,Family,query_id,kueri,B,GPL,exp1,exp2,exp3,exp4,exp4.1,exp4.2,exp4.3,exp5,exp5.0,exp5.1,exp5.2,exp5.3,exp5.4,exp5.4.1,exp5.4.2,exp5.4.3,exp6,Δ(exp5.2-B)
ID,multilingual-e5-base,13,berbagai jenis pemberian,0.7811,0.6364,0.7465,0.7864,0.8673,0.621,0.7726,0.7864,0.7969,0.7658,0.6954,0.6954,0.6954,0.7658,0.6954,0.6954,0.6954,0.5911,,-0.0857
ID,gte-multilingual-base,13,berbagai jenis pemberian,0.8333,0.7576,0.7726,0.8515,0.9348,0.7811,0.7726,0.7811,0.9117,0.7658,0.7189,0.7189,0.7658,0.7684,0.7658,0.6954,0.7658,0.8127,0.7603,-0.0675
ID,multilingual-e5-base,25,perasaan malu dan takut,0.9206,0.7846,0.8065,0.8923,0.836,0.8397,0.8397,0.848,0.8735,0.8156,0.8531,0.839,0.8549,0.7965,0.8531,0.839,0.8549,0.8841,,-0.0657
ID,gte-multilingual-base,25,perasaan malu dan takut,0.8591,0.8795,0.8795,0.7958,0.7252,0.8358,0.8358,0.779,0.7978,0.8026,0.9078,0.8618,0.7965,0.8093,0.7589,0.7589,0.8531,0.8531,0.5573,-0.0626
ID,gte-multilingual-base,27,jenis jenis karma buruk,0.6545,0.4518,0.5341,0.5897,0.5063,0.6669,0.5936,0.5323,0.4919,0.3865,0.3865,0.3865,0.5932,0.3865,0.3865,0.3865,0.3865,0.3865,0.58,-0.0613
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.7809,0.8249,0.6461,0.5964,0.7798,0.3072,0.3563,0.5087,0.6645,0.6886,0.8152,0.8234,0.7196,0.8152,0.7472,0.4978,0.4719,0.6416,,-0.0613
ID,gte-multilingual-base,16,harta yang paling bernilai,0.8973,0.9026,0.8432,0.5586,0.7273,0.8882,0.9026,0.7038,0.752,0.9781,0.7955,0.7955,0.8445,0.8445,0.8445,0.8384,0.8445,0.8445,0.4253,-0.0528
ID,gte-multilingual-base,20,penggambaran terhadap keagungan buddha,0.2687,0.1797,0.1877,0.1199,0.1264,0.1339,0.1339,0.1708,0.0982,0.6723,0.225,0.5365,0.225,0.2872,0.2697,0.2086,0.2086,0.1624,0.411,-0.0437
ID,gte-multilingual-base,14,apa makna kekosongan,0.7744,0.6429,0.6429,0.2548,0.6952,0.771,0.6654,0.7779,0.8351,0.686,0.7131,0.7131,0.7364,0.8352,0.6825,0.6825,0.5958,0.5958,,-0.038
ID,multilingual-e5-base,27,jenis jenis karma buruk,0.6556,0.3325,0.6622,0.4461,0.7202,0.5665,0.5665,0.646,0.7927,0.4482,0.6239,0.3865,0.621,0.3865,0.3865,0.3865,0.3865,0.3865,,-0.0346
ID,multilingual-e5-base,6,apa itu kemurahan hati,0.5378,0.6064,0.648,0.6632,0.5241,0.5124,0.522,0.6515,0.6673,0.4873,0.729,0.729,0.5061,0.5914,0.7108,0.7108,0.719,0.719,,-0.0317
ID,gte-multilingual-base,5,perumpamaan perumpamaan,1.0,0.9361,0.9152,0.8178,0.8626,0.9313,0.9293,0.9538,0.9757,0.9078,0.9757,0.9757,0.9717,0.9757,0.9361,0.94,1.0,1.0,0.9643,-0.0283
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7807,0.8199,0.7555,0.8223,0.71,0.7147,0.7492,0.831,0.8,0.6003,0.7997,0.7997,0.7656,0.7043,0.7513,0.8646,0.8306,0.8306,0.3641,-0.0151
ID,gte-multilingual-base,11,siapa yang layak disebut sebagai brahmana,0.8164,0.2261,0.1091,0.4011,0.6099,0.6158,0.8304,0.9453,1.0,0.8387,1.0,0.8387,0.8043,0.9255,0.8666,0.8666,0.882,0.7942,0.5428,-0.0121
ID,gte-multilingual-base,30,apa itu proliferasi mental,0.9704,0.9585,0.9366,0.8737,0.933,0.9881,0.9881,0.9559,0.9559,1.0,1.0,1.0,0.9633,0.9633,1.0,1.0,0.9633,0.9633,0.5207,-0.0071
ID,multilingual-e5-base,18,penyebab gempa bumi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
ID,multilingual-e5-base,30,apa itu proliferasi mental,0.9559,0.9111,0.934,0.933,0.9559,0.9366,0.9366,0.8871,0.9559,1.0,0.9704,0.9704,0.9633,1.0,0.9704,1.0,1.0,1.0,,0.0074
ID,gte-multilingual-base,18,penyebab gempa bumi,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0219
ID,multilingual-e5-base,19,jenis jenis kemelekatan,0.9781,0.8907,0.8783,0.8907,0.9563,0.8907,1.0,0.9781,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0219
ID,gte-multilingual-base,19,jenis jenis kemelekatan,0.9781,1.0,1.0,0.8688,1.0,0.9563,0.9563,1.0,1.0,0.9781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688,0.0219
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.3932,0.2334,0.2379,0.4951,0.0456,0.2203,0.2379,0.2386,0.141,0.6791,0.2872,0.3514,0.419,0.3634,0.2872,0.3514,0.1986,0.2369,,0.0258
ID,multilingual-e5-base,17,kewajiban seorang umat awam,0.8478,0.7951,0.6599,0.6336,0.8699,0.6572,0.6519,0.5982,0.9808,0.9274,0.8513,0.8513,0.8756,0.9274,0.9024,0.9024,0.8756,0.8756,,0.0278
ID,multilingual-e5-base,21,jenis jenis manusia,0.8333,0.8304,0.9881,0.8406,0.5392,0.7632,0.7717,0.8333,0.7524,0.8074,0.9692,0.9692,0.8675,0.6115,0.7751,0.7751,0.8195,0.663,,0.0342
ID,multilingual-e5-base,5,perumpamaan perumpamaan,0.9538,0.6588,0.6851,0.7896,0.8614,0.5287,0.6356,0.3392,0.7227,0.9538,0.9717,0.9717,1.0,0.9344,0.792,0.8088,0.6945,0.7227,,0.0462
ID,multilingual-e5-base,28,berbagai jenis perbuatan baik,0.9319,0.763,0.7708,0.7652,0.9076,0.9169,0.9485,0.9191,0.9781,0.9563,0.9978,0.9978,1.0,0.9293,0.9978,0.9978,1.0,0.9293,,0.0681
ID,multilingual-e5-base,16,harta yang paling bernilai,0.7564,0.9563,0.9563,0.4253,0.688,0.9287,0.9287,0.7321,0.7443,0.8728,0.8748,0.8748,0.8263,0.8614,0.8748,0.8748,0.8578,0.8578,,0.0699
ID,multilingual-e5-base,4,mengapa harus membalas budi orangtua,0.8783,0.8907,0.7689,0.8883,0.8176,0.9294,0.7819,0.95,0.95,0.8407,0.9569,0.9344,0.9569,0.8913,0.9569,0.8907,0.9569,0.9569,,0.0786
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.6321,0.6381,0.7158,0.7099,0.5547,0.6472,0.7017,0.6201,0.752,0.6975,0.8212,0.7997,0.7338,0.7285,0.7396,0.8949,0.6789,0.8102,,0.1017
ID,multilingual-e5-base,7,penjelasan tentang perhatian murni,0.3552,0.4609,0.4503,0.5474,0.4231,0.4093,0.4797,0.3903,0.2603,0.3554,0.6142,0.6142,0.461,0.4063,0.576,0.576,0.576,0.4063,,0.1058
ID,gte-multilingual-base,28,berbagai jenis perbuatan baik,0.8663,0.8869,0.8848,0.7652,0.9563,0.9043,0.9043,0.9043,0.9216,0.9781,0.9978,0.9978,1.0,1.0,0.9672,0.9672,1.0,1.0,0.8123,0.1337
ID,gte-multilingual-base,4,mengapa harus membalas budi orangtua,0.8587,0.7557,0.7776,0.7557,0.7409,0.6534,0.6018,0.7665,0.7429,0.8913,0.9235,0.9235,1.0,0.9569,1.0,0.8907,1.0,0.9569,0.6756,0.1413
ID,multilingual-e5-base,12,kewajiban seorang bhikkhu,0.8083,0.7456,0.6932,0.6805,0.7688,0.5794,0.5436,0.7736,0.9586,0.9711,0.9228,1.0,0.9528,0.903,0.9127,0.9127,0.9751,0.9304,,0.1445
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.7104,0.8333,0.801,0.8407,0.8987,0.831,0.8296,0.8325,0.8235,0.8884,0.8759,0.8759,0.8759,0.8884,0.8759,0.8759,0.8884,0.8884,,0.1655
ID,gte-multilingual-base,10,kriteria kesucian,0.2616,0.1857,0.1921,0.2101,0.2101,0.0936,0.0778,0.3054,0.1927,0.285,0.4521,0.441,0.4292,0.5739,0.4546,0.3797,0.4668,0.5697,,0.1676
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.7104,0.8899,0.8899,0.8992,0.8108,0.8825,0.8761,0.8651,0.8902,0.7797,0.8759,0.8884,0.8884,0.8884,0.8884,0.8884,0.8884,0.8884,0.8552,0.178
ID,gte-multilingual-base,21,jenis jenis manusia,0.7473,0.9781,1.0,1.0,0.9435,0.9918,1.0,0.9343,0.9343,0.9435,1.0,0.9805,0.9316,0.9329,0.9207,0.9207,0.9249,0.914,0.9805,0.1843
ID,gte-multilingual-base,17,kewajiban seorang umat awam,0.6335,0.7336,0.6627,0.2811,0.5987,0.734,0.6213,0.3822,0.7522,0.8513,0.8558,0.8558,0.8329,0.871,0.8513,0.8513,0.8732,0.885,0.7921,0.1994
ID,multilingual-e5-base,10,kriteria kesucian,0.2162,0.1288,0.2877,0.3943,0.3883,0.3331,0.2986,0.4095,0.4006,0.4717,0.4336,0.4461,0.425,0.425,0.4633,0.4692,0.6636,0.5297,,0.2088
ID,multilingual-e5-base,20,penggambaran terhadap keagungan buddha,0.5872,0.3519,0.6246,0.2293,0.4406,0.2234,0.1129,0.5436,0.6985,0.4879,0.4656,0.562,0.8078,0.8078,0.1573,0.1014,0.5133,0.5511,,0.2206
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1367,0.3039,0.3597,0.283,0.382,0.6109,0.5772,0.5419,0.7143,0.6957,0.3514,0.3634,0.367,0.3435,0.4709,0.367,0.6557,0.922,0.2692,0.2303
ID,multilingual-e5-base,8,manfaat pelaksaan sila,0.5343,0.4702,0.3893,0.6495,0.5774,0.4761,0.4596,0.4761,0.5795,0.6152,0.5592,0.5267,0.7784,0.6723,0.5271,0.5271,0.6148,0.5586,,0.2441
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5982,0.691,0.691,0.8138,0.5585,0.6372,0.7013,0.5974,0.6582,0.8795,0.7529,0.7801,0.8577,0.7612,0.7407,0.7407,0.8139,0.7407,0.2729,0.2595
ID,multilingual-e5-base,9,jenis jenis kotoran batin,0.5425,0.491,0.5299,0.2784,0.4851,0.4184,0.4262,0.3673,0.3995,0.5582,0.6773,0.7987,0.8121,0.7768,0.7988,0.6831,0.7818,0.6242,,0.2696
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4409,0.6728,0.6728,0.4409,0.4409,0.4409,0.5243,0.4409,0.4409,0.462,0.6741,0.7025,0.7342,0.5345,0.4599,0.4599,0.4726,0.4726,,0.2933
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,1.0,0.4637,0.6356,0.65,1.0,0.8922,1.0,0.9854,0.9854,0.9854,0.9854,1.0,0.8761,0.9854,0.949,,0.2961
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.4399,0.6555,0.4965,0.602,0.5712,0.5242,0.5795,0.4367,0.5087,0.593,0.6869,0.6789,0.7987,0.6326,0.6789,0.7439,0.6869,0.7516,0.6555,0.3588
ID,gte-multilingual-base,23,penjelasan tentang pandangan terang,0.3411,0.6798,0.6798,0.5384,0.8224,0.6885,0.5433,0.6643,0.6328,0.6977,0.7878,0.8652,0.7995,0.8224,0.7854,0.8782,0.8224,0.8224,0.6314,0.4584
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.1514,0.4522,0.3392,0.3748,0.4105,0.2901,0.2999,0.5269,0.0713,0.531,0.6774,0.5941,0.6272,0.4818,0.6411,0.6711,0.5641,0.5661,0.4772,0.4758
ID,multilingual-e5-base,26,bersatu di kehidupan selanjutnya,0.2126,0.371,0.2909,0.735,0.7692,0.4092,0.3051,0.7916,0.8053,0.4491,0.4008,0.2688,0.7727,0.7489,0.3417,0.3417,0.29,0.4013,,0.5601
ID,gte-multilingual-base,2,cara mengatasi ngantuk,0.214,0.0,0.0,0.5296,0.7227,0.0428,0.0339,0.749,0.5296,0.4314,0.0,0.0,0.9854,0.8922,0.4385,0.0678,0.8907,0.7714,0.0,0.7714
