Korpus,Family,query_id,kueri,B,GPL,exp1,Δ(GPL-B)
ID,multilingual-e5-base,22,cara mengikis kotoran batin,0.5751,0.664,0.845,0.0889
ID,gte-multilingual-base,1,cara mengatasi kemarahan,0.5664,0.6667,0.6667,0.1003
ID,gte-multilingual-base,16,harta yang paling bernilai,0.7945,0.9026,0.8432,0.1081
ID,multilingual-e5-base,21,jenis jenis manusia,0.6667,0.8304,1.0,0.1637
ID,multilingual-e5-base,15,apa kualitas yang harus dimiliki oleh seorang penceramah,0.5725,0.7454,0.6349,0.1729
ID,gte-multilingual-base,22,cara mengikis kotoran batin,0.7365,0.9275,0.8254,0.191
ID,gte-multilingual-base,6,apa itu kemurahan hati,0.4608,0.6547,0.6547,0.1939
ID,gte-multilingual-base,9,jenis jenis kotoran batin,0.3086,0.5585,0.3692,0.2499
ID,multilingual-e5-base,3,apa penyebab penderitaan,0.4637,0.7346,0.7346,0.2709
ID,gte-multilingual-base,8,manfaat pelaksaan sila,0.149,0.4522,0.3392,0.3032
ID,multilingual-e5-base,2,cara mengatasi ngantuk,0.6893,1.0,1.0,0.3107
ID,gte-multilingual-base,21,jenis jenis manusia,0.6406,0.9563,1.0,0.3157
ID,multilingual-e5-base,29,jenis orang yang tak boleh ditahbiskan,0.5296,0.8688,1.0,0.3392
ID,multilingual-e5-base,16,harta yang paling bernilai,0.5615,0.9125,0.9125,0.351
ID,gte-multilingual-base,3,apa penyebab penderitaan,0.4637,0.8591,0.8591,0.3954
ID,gte-multilingual-base,29,jenis orang yang tak boleh ditahbiskan,0.1696,1.0,1.0,0.8304
